id,place_id,business_name,category,state,city,district,industrial_zone,pin_code,address,phone,whatsapp_link,email,website,decision_maker,google_rating,reviews_count,google_maps_url,growth_gap,recommended_package,tailored_pitch_hook,has_website,call_status,follow_up_date,sales_remarks,is_live_google,created_at,updated_at
65,ChIJtwjZyai53TsRUNaIXUUbu7Q,J K Industries,MSME / Manufacturing,Maharashtra,Sinnar,,Sinnar Zone,422113,"C-109, Malegaon MIDC, Dist, MIDC Area, Sinnar, Nashik, Maharashtra 422113, India",+91 82750 19040,https://wa.me/918275019040,,,Owner / Managing Director,5 ★ (6 reviews),6,https://maps.google.com/?cid=13023032732207863376&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No OEM-grade digital product catalogue / ISO portfolio for export & MNC client verification.,"MSME Tech & CRM Growth Suite (₹79,999 - ₹1,45,000)","Hi Sir/Madam, with manufacturing expanding across Sinnar, procurement heads in Pune and Mumbai search for verified vendors online. VinEstate builds enterprise-grade websites, AI quotation drafting, and CRM lead pipelines tailored specifically for MSMEs in Sinnar.",0,New / Fresh,,,1,2026-09-13 13:19:38,2026-09-13 13:19:38
64,ChIJ8eywRwCx3TsRR0OIeHQDVyU,Shrivasa Industries Pvt. Ltd. l Waste tyre pyrolysis plant l continuous pyrolysis plant,MSME / Manufacturing,Maharashtra,Sinnar,,Musalgaon MIDC,422112,"MIDC, Musalgaon Industrial Area, Musalgaon, Sinnar, Maharashtra 422112, India",+91 88304 83942,https://wa.me/918830483942,,https://shrivasaindustries.com/,Owner / Managing Director,5 ★ (19 reviews),19,https://maps.google.com/?cid=2690623101150446407&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Missing automated CRM RFQ pipeline & WhatsApp quotation generation for tier-1 vendor approvals.,"MSME Tech & CRM Growth Suite (₹79,999 - ₹1,45,000)","Hi Sir/Madam, with manufacturing expanding across Sinnar, procurement heads in Pune and Mumbai search for verified vendors online. VinEstate builds enterprise-grade websites, AI quotation drafting, and CRM lead pipelines tailored specifically for MSMEs in Sinnar.",1,New / Fresh,,,1,2026-09-13 13:19:38,2026-09-13 13:19:38
63,ChIJNUcGpVu63TsRD_XxtBnTfFs,Mlt Pack,MSME / Manufacturing,Maharashtra,Sinnar,,Sinnar Zone,422113,"Plot No B-168, M I D C, Malegao, Sinnar, M I D C, MIDC Area, Nashik, Malegaon, Maharashtra 422113, India",+91 94229 44646,https://wa.me/919422944646,,https://mltpack.com/,Owner / Managing Director,4.6 ★ (28 reviews),28,https://maps.google.com/?cid=6592376061926962447&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Missing automated CRM RFQ pipeline & WhatsApp quotation generation for tier-1 vendor approvals.,"MSME Tech & CRM Growth Suite (₹79,999 - ₹1,45,000)","Hi Sir/Madam, with manufacturing expanding across Sinnar, procurement heads in Pune and Mumbai search for verified vendors online. VinEstate builds enterprise-grade websites, AI quotation drafting, and CRM lead pipelines tailored specifically for MSMEs in Sinnar.",1,New / Fresh,,,1,2026-09-13 13:19:38,2026-09-13 13:19:38
62,ChIJyVK2gNu53TsRd_Afv59obkU,Vision Industries,MSME / Manufacturing,Maharashtra,Sinnar,,Sinnar Zone,422113,"Front of empire spice, C-95, MIDC, MIDC Area, Malegaon, Sinnar, Maharashtra 422113, India",+91 95279 27174,https://wa.me/919527927174,,,Owner / Managing Director,5 ★ (1 reviews),1,https://maps.google.com/?cid=5003051271370829943&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No OEM-grade digital product catalogue / ISO portfolio for export & MNC client verification.,"MSME Tech & CRM Growth Suite (₹79,999 - ₹1,45,000)","Hi Sir/Madam, with manufacturing expanding across Sinnar, procurement heads in Pune and Mumbai search for verified vendors online. VinEstate builds enterprise-grade websites, AI quotation drafting, and CRM lead pipelines tailored specifically for MSMEs in Sinnar.",0,New / Fresh,,,1,2026-09-13 13:19:38,2026-09-13 13:19:38
61,ChIJfQ_yyNi73TsRqMZnzN_chWI,OKAY FERN PRECISION CASTINGS PVT.LTD.,MSME / Manufacturing,Maharashtra,Sinnar,,Sinnar Zone,422113,"126/1, behind CCI LTD, Malegaon Industrial Area, Malegaon, Sinnar, Maharashtra 422113, India",+91 25512 30874,https://wa.me/912551230874,,http://okayfern.co.in/,Owner / Managing Director,4 ★ (22 reviews),22,https://maps.google.com/?cid=7099323241384625832&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Missing automated CRM RFQ pipeline & WhatsApp quotation generation for tier-1 vendor approvals.,"MSME Tech & CRM Growth Suite (₹79,999 - ₹1,45,000)","Hi Sir/Madam, with manufacturing expanding across Sinnar, procurement heads in Pune and Mumbai search for verified vendors online. VinEstate builds enterprise-grade websites, AI quotation drafting, and CRM lead pipelines tailored specifically for MSMEs in Sinnar.",1,New / Fresh,,,1,2026-09-13 13:19:38,2026-09-13 13:19:38
60,ChIJ3_CetMi73TsRAstCpbvrBpw,Nikam Industries - Rack World,MSME / Manufacturing,Maharashtra,Sinnar,,Sinnar Zone,422113,"Plot No. B 227, Midc malegoan Sinnar Near N V Pharma, opposite of taam engineering, MIDC Area, Sinnar, Malegaon, Maharashtra 422113, India",+91 75076 65594,https://wa.me/917507665594,,https://www.nikamrackworld.com/index.php,Owner / Managing Director,4.9 ★ (192 reviews),192,https://maps.google.com/?cid=11242932710941051650&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Missing automated CRM RFQ pipeline & WhatsApp quotation generation for tier-1 vendor approvals.,"MSME Tech & CRM Growth Suite (₹79,999 - ₹1,45,000)","Hi Sir/Madam, with manufacturing expanding across Sinnar, procurement heads in Pune and Mumbai search for verified vendors online. VinEstate builds enterprise-grade websites, AI quotation drafting, and CRM lead pipelines tailored specifically for MSMEs in Sinnar.",1,New / Fresh,,,1,2026-09-13 13:19:38,2026-09-13 13:19:38
59,ChIJLbMqMoG73TsRl-nAWpDf9-g,Adamant Engineer's Pvt Ltd,MSME / Manufacturing,Maharashtra,Sinnar,,Sinnar Zone,422113,"Plot no, MIDC , MALEGAON, SINNAR, B-276, MIDC Area, Sinnar, Malegaon, Maharashtra 422113, India",+91 82083 32065,https://wa.me/918208332065,,http://www.adamantengineers.com/,Owner / Managing Director,5 ★ (2 reviews),2,https://maps.google.com/?cid=16787131947137690007&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Missing automated CRM RFQ pipeline & WhatsApp quotation generation for tier-1 vendor approvals.,"MSME Tech & CRM Growth Suite (₹79,999 - ₹1,45,000)","Hi Sir/Madam, with manufacturing expanding across Sinnar, procurement heads in Pune and Mumbai search for verified vendors online. VinEstate builds enterprise-grade websites, AI quotation drafting, and CRM lead pipelines tailored specifically for MSMEs in Sinnar.",1,New / Fresh,,,1,2026-09-13 13:19:38,2026-09-13 13:19:38
58,ChIJCUefG8673TsRy0HkF_9cxCw,Meena Elastomers Pvt. Ltd.,MSME / Manufacturing,Maharashtra,Sinnar,,Sinnar Zone,422113,"Mukand Limited, Malegaon MIDC, Sinnar, Malegaon Industrial Area, Malegaon, Maharashtra 422113, India",+91 84212 32147,https://wa.me/918421232147,,,Owner / Managing Director,4.1 ★ (45 reviews),45,https://maps.google.com/?cid=3225805483791368651&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No OEM-grade digital product catalogue / ISO portfolio for export & MNC client verification.,"MSME Tech & CRM Growth Suite (₹79,999 - ₹1,45,000)","Hi Sir/Madam, with manufacturing expanding across Sinnar, procurement heads in Pune and Mumbai search for verified vendors online. VinEstate builds enterprise-grade websites, AI quotation drafting, and CRM lead pipelines tailored specifically for MSMEs in Sinnar.",0,New / Fresh,,,1,2026-09-13 13:19:38,2026-09-13 13:19:38
57,ChIJNUcGpVu63TsRWzHD95h_H2I,Skipper Industries,MSME / Manufacturing,Maharashtra,Sinnar,,Sinnar Zone,422113,"W-16, M I D C, Malegaon, Sinnar, Sinnar, MIDC Area, Sinnar, Malegaon, Maharashtra 422113, India",+91 96894 15777,https://wa.me/919689415777,,http://www.skippertrans.org/,Owner / Managing Director,4 ★ (4 reviews),4,https://maps.google.com/?cid=7070510234963489115&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Missing automated CRM RFQ pipeline & WhatsApp quotation generation for tier-1 vendor approvals.,"MSME Tech & CRM Growth Suite (₹79,999 - ₹1,45,000)","Hi Sir/Madam, with manufacturing expanding across Sinnar, procurement heads in Pune and Mumbai search for verified vendors online. VinEstate builds enterprise-grade websites, AI quotation drafting, and CRM lead pipelines tailored specifically for MSMEs in Sinnar.",1,New / Fresh,,,1,2026-09-13 13:19:38,2026-09-13 13:19:38
56,ChIJmf5USdi73TsRldc9R32h6P4,AARK Packaging Industries,MSME / Manufacturing,Maharashtra,Sinnar,,Sinnar Zone,422113,"A76, Mukand Limited, Malegaon MIDC, Sinnar, MIDC Area, Nashik, Sinnar, Maharashtra 422113, India",,,,,Owner / Managing Director,4.8 ★ (16 reviews),16,https://maps.google.com/?cid=18368108639668787093&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No OEM-grade digital product catalogue / ISO portfolio for export & MNC client verification.,"MSME Tech & CRM Growth Suite (₹79,999 - ₹1,45,000)","Hi Sir/Madam, with manufacturing expanding across Sinnar, procurement heads in Pune and Mumbai search for verified vendors online. VinEstate builds enterprise-grade websites, AI quotation drafting, and CRM lead pipelines tailored specifically for MSMEs in Sinnar.",0,New / Fresh,,,1,2026-09-13 13:19:38,2026-09-13 13:19:38
55,ChIJ5bhK9Q673TsRbQd6YPkXtgw,S S Industries,MSME / Manufacturing,Maharashtra,Sinnar,,Sinnar Zone,422113,"Plot No. D-76, near Jindal saw Ltd, MIDC, MIDC Area, Sinnar, Malegaon, Maharashtra 422113, India",,,,http://www.sscases.com/,Owner / Managing Director,5 ★ (4 reviews),4,https://maps.google.com/?cid=915945934049380205&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Missing automated CRM RFQ pipeline & WhatsApp quotation generation for tier-1 vendor approvals.,"MSME Tech & CRM Growth Suite (₹79,999 - ₹1,45,000)","Hi Sir/Madam, with manufacturing expanding across Sinnar, procurement heads in Pune and Mumbai search for verified vendors online. VinEstate builds enterprise-grade websites, AI quotation drafting, and CRM lead pipelines tailored specifically for MSMEs in Sinnar.",1,New / Fresh,,,1,2026-09-13 13:19:38,2026-09-13 13:19:38
54,ChIJLXQjB3273TsRLWF8hNWQPIM,SUJEET INDUSTRIES PVT LTD,MSME / Manufacturing,Maharashtra,Sinnar,,Sinnar Zone,422113,"C-2, MIDC INDUSTRIAL AREA, MALGOAN, SINNAR, Malegaon, Maharashtra 422113, India",+91 95791 48105,https://wa.me/919579148105,,http://sujeetind.com/,Owner / Managing Director,5 ★ (4 reviews),4,https://maps.google.com/?cid=9456592564296376621&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Missing automated CRM RFQ pipeline & WhatsApp quotation generation for tier-1 vendor approvals.,"MSME Tech & CRM Growth Suite (₹79,999 - ₹1,45,000)","Hi Sir/Madam, with manufacturing expanding across Sinnar, procurement heads in Pune and Mumbai search for verified vendors online. VinEstate builds enterprise-grade websites, AI quotation drafting, and CRM lead pipelines tailored specifically for MSMEs in Sinnar.",1,New / Fresh,,,1,2026-09-13 13:19:38,2026-09-13 13:19:38
53,ChIJgdS-99W73TsRQlVX1V3lR9A,Resistotech India Pvt Ltd,MSME / Manufacturing,Maharashtra,Sinnar,,Sinnar Zone,422113,"MIDC, MIDC Area, Malegaon, Sinnar, Maharashtra 422113, India",+91 98204 29054,https://wa.me/919820429054,,http://www.resistotech.in/,Owner / Managing Director,4.2 ★ (39 reviews),39,https://maps.google.com/?cid=15008216474409456962&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Missing automated CRM RFQ pipeline & WhatsApp quotation generation for tier-1 vendor approvals.,"MSME Tech & CRM Growth Suite (₹79,999 - ₹1,45,000)","Hi Sir/Madam, with manufacturing expanding across Sinnar, procurement heads in Pune and Mumbai search for verified vendors online. VinEstate builds enterprise-grade websites, AI quotation drafting, and CRM lead pipelines tailored specifically for MSMEs in Sinnar.",1,New / Fresh,,,1,2026-09-13 13:19:38,2026-09-13 13:19:38
52,ChIJRZ384-a73TsRAyQyNroUkQE,Triveni Allucast Industries Pvt Ltd,MSME / Manufacturing,Maharashtra,Sinnar,,Sinnar Zone,422113,"J-21, Malegaon MIDC, Sinnar, J-21, NH 50, Malegaon, Maharashtra 422113, India",+91 78878 77222,https://wa.me/917887877222,,,Owner / Managing Director,4.8 ★ (39 reviews),39,https://maps.google.com/?cid=112894255666701315&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No OEM-grade digital product catalogue / ISO portfolio for export & MNC client verification.,"MSME Tech & CRM Growth Suite (₹79,999 - ₹1,45,000)","Hi Sir/Madam, with manufacturing expanding across Sinnar, procurement heads in Pune and Mumbai search for verified vendors online. VinEstate builds enterprise-grade websites, AI quotation drafting, and CRM lead pipelines tailored specifically for MSMEs in Sinnar.",0,New / Fresh,,,1,2026-09-13 13:19:38,2026-09-13 13:19:38
