Business Name,Category,State,City,MIDC / Industrial Cluster,PIN Code,Full Address,Calling Phone Number,WhatsApp Direct Chat Link,Email Address,Website / Social URL,Key Decision Maker,Google Rating & Reviews,Current Call Status,Next Scheduled Follow-up,Sales Call Remarks & Notes,Growth Gap & Pain Point,Recommended VinEstate Package,Tailored Cold Call / WhatsApp Pitch Hook
Sharma Wiring Tech Industries,MSME / Wiring Harnesses,Maharashtra,Pune,Chakan MIDC,410501,"Plot 75, Chakan MIDC, Pune 410501",+91 94562 56190,https://wa.me/919456256190,sales@sharmawiringtech.in,https://sharmawiringtec.com,Omkar Sharma (Managing Director / Owner),4.7 ★ (63+ Reviews),New / Fresh,,,NO MODERN WEBSITE; missing B2B RFQ quotation pipeline and local industrial SEO for Chakan MIDC buyers.,"MSME Tech & CRM Growth Suite (₹79,999 - ₹1,45,000)","Hi Omkar ji, procurement heads in Pune and Mumbai search online daily for verified Wiring Harnesses suppliers in Chakan MIDC. VinEstate builds enterprise-grade engineering websites and AI quotation drafting pipelines tailored for Pune MSMEs."
Greenwood Valley View Glamping Igatpuri,Luxury Villa & Homestay,Maharashtra,Igatpuri,Bhavali Dam / Hill Station,422403,"Plot 144, Bhavali Dam / Hill Station, Igatpuri 422403",+91 997246 68305,,booking@greenwoodvalleyv.in,,Dinesh Kulkarni (Managing Director / Owner),4.5 ★ (199+ Reviews),New / Fresh,,,NO OFFICIAL WEBSITE; 100% reliant on OTA commissions (18-22% cut) and Instagram DMs.,"Villa Digital Foundation & WhatsApp AI Concierge (₹34,999)","Hi Dinesh, Greenwood Valley View Glamping Igatpuri has exceptional reviews in Igatpuri, but without a direct booking website you lose 20% in margins to Airbnb/OTAs. VinEstate builds direct booking websites and 24/7 WhatsApp AI booking concierges that convert inquiries with 0% commission."
Sharma Heavy Enterprises,MSME / Heavy Structural Engineering,Maharashtra,Igatpuri,Gonde MIDC,422403,"Plot 144, Gonde MIDC, Igatpuri 422403",+91 97703 48876,https://wa.me/919770348876,sales@sharmaheavyenter.in,,Amitabh Sharma (Managing Director / Owner),4.4 ★ (141+ Reviews),New / Fresh,,,NO MODERN WEBSITE; missing B2B RFQ quotation pipeline and local industrial SEO for Gonde MIDC buyers.,"MSME Tech & CRM Growth Suite (₹79,999 - ₹1,45,000)","Hi Amitabh ji, procurement heads in Pune and Mumbai search online daily for verified Heavy Structural Engineering suppliers in Gonde MIDC. VinEstate builds enterprise-grade engineering websites and AI quotation drafting pipelines tailored for Igatpuri MSMEs."
Yadav Specialty Automation,MSME / Specialty Pigments,Gujarat,Surat,Sachin GIDC,394230,"Plot 24, Sachin GIDC, Surat 394230",+91 70551 49397,https://wa.me/917055149397,sales@yadavspecialtyau.in,,Vijay Yadav (Managing Director / Owner),4.7 ★ (193+ Reviews),New / Fresh,,,NO MODERN WEBSITE; missing B2B RFQ quotation pipeline and local industrial SEO for Sachin GIDC buyers.,"MSME Tech & CRM Growth Suite (₹79,999 - ₹1,45,000)","Hi Vijay ji, procurement heads in Pune and Mumbai search online daily for verified Specialty Pigments suppliers in Sachin GIDC. VinEstate builds enterprise-grade engineering websites and AI quotation drafting pipelines tailored for Surat MSMEs."
Patel Aerospace Industrial Solutions,MSME / Aerospace Titanium Machining,Karnataka,Bengaluru,Peenya Industrial Area,560058,"Plot 218, Peenya Industrial Area, Bengaluru 560058",+91 98660 72765,https://wa.me/919866072765,sales@patelaerospacein.in,,Alok Patel (Managing Director / Owner),4.7 ★ (126+ Reviews),New / Fresh,,,NO MODERN WEBSITE; missing B2B RFQ quotation pipeline and local industrial SEO for Peenya Industrial Area buyers.,"MSME Tech & CRM Growth Suite (₹79,999 - ₹1,45,000)","Hi Alok ji, procurement heads in Pune and Mumbai search online daily for verified Aerospace Titanium Machining suppliers in Peenya Industrial Area. VinEstate builds enterprise-grade engineering websites and AI quotation drafting pipelines tailored for Bengaluru MSMEs."
Patel Auto Components Pvt Ltd,MSME / Auto Press Tooling,Maharashtra,Pune,Chakan MIDC,410501,"Plot 119, Chakan MIDC, Pune 410501",+91 93886 46500,https://wa.me/919388646500,sales@patelautocompone.in,https://patelautocompon.com,Sanjay Patel (Managing Director / Owner),4.6 ★ (57+ Reviews),New / Fresh,,,NO MODERN WEBSITE; missing B2B RFQ quotation pipeline and local industrial SEO for Chakan MIDC buyers.,"MSME Tech & CRM Growth Suite (₹79,999 - ₹1,45,000)","Hi Sanjay ji, procurement heads in Pune and Mumbai search online daily for verified Auto Press Tooling suppliers in Chakan MIDC. VinEstate builds enterprise-grade engineering websites and AI quotation drafting pipelines tailored for Pune MSMEs."
Murthy Industrial Components Pvt Ltd,MSME / Industrial Paints,Tamil Nadu,Chennai,Sriperumbudur SIPCOT,602106,"Plot 89, Sriperumbudur SIPCOT, Chennai 602106",+91 97673 79643,https://wa.me/919767379643,sales@murthyindustrial.in,,Rajesh Murthy (Managing Director / Owner),4.6 ★ (197+ Reviews),New / Fresh,,,NO MODERN WEBSITE; missing B2B RFQ quotation pipeline and local industrial SEO for Sriperumbudur SIPCOT buyers.,"MSME Tech & CRM Growth Suite (₹79,999 - ₹1,45,000)","Hi Rajesh ji, procurement heads in Pune and Mumbai search online daily for verified Industrial Paints suppliers in Sriperumbudur SIPCOT. VinEstate builds enterprise-grade engineering websites and AI quotation drafting pipelines tailored for Chennai MSMEs."
Avhad Robotic Precision Engg,MSME / Robotic Fixtures,Maharashtra,Pune,Chakan MIDC,410501,"Plot 102, Chakan MIDC, Pune 410501",+91 94751 34734,https://wa.me/919475134734,sales@avhadroboticprec.in,https://avhadroboticpre.com,Vijay Avhad (Managing Director / Owner),4.7 ★ (119+ Reviews),New / Fresh,,,NO MODERN WEBSITE; missing B2B RFQ quotation pipeline and local industrial SEO for Chakan MIDC buyers.,"MSME Tech & CRM Growth Suite (₹79,999 - ₹1,45,000)","Hi Vijay ji, procurement heads in Pune and Mumbai search online daily for verified Robotic Fixtures suppliers in Chakan MIDC. VinEstate builds enterprise-grade engineering websites and AI quotation drafting pipelines tailored for Pune MSMEs."
Murthy Herbal Components Pvt Ltd,MSME / Herbal Extraction,Maharashtra,Sinnar,Musalgaon MIDC,422103,"Plot 171, Musalgaon MIDC, Sinnar 422103",+91 93492 49335,https://wa.me/919349249335,sales@murthyherbalcomp.in,https://murthyherbalcom.com,Rajesh Murthy (Managing Director / Owner),4.7 ★ (54+ Reviews),New / Fresh,,,NO MODERN WEBSITE; missing B2B RFQ quotation pipeline and local industrial SEO for Musalgaon MIDC buyers.,"MSME Tech & CRM Growth Suite (₹79,999 - ₹1,45,000)","Hi Rajesh ji, procurement heads in Pune and Mumbai search online daily for verified Herbal Extraction suppliers in Musalgaon MIDC. VinEstate builds enterprise-grade engineering websites and AI quotation drafting pipelines tailored for Sinnar MSMEs."
Thorat Laser Industrial Solutions,MSME / Laser Cutting Works,Maharashtra,Pune,Chakan MIDC,410501,"Plot 110, Chakan MIDC, Pune 410501",+91 70899 91864,https://wa.me/917089991864,sales@thoratlaserindus.in,,Pankaj Thorat (Managing Director / Owner),4.7 ★ (100+ Reviews),New / Fresh,,,NO MODERN WEBSITE; missing B2B RFQ quotation pipeline and local industrial SEO for Chakan MIDC buyers.,"MSME Tech & CRM Growth Suite (₹79,999 - ₹1,45,000)","Hi Pankaj ji, procurement heads in Pune and Mumbai search online daily for verified Laser Cutting Works suppliers in Chakan MIDC. VinEstate builds enterprise-grade engineering websites and AI quotation drafting pipelines tailored for Pune MSMEs."
Heritage Cliffside Glass Villa Lonavala,Luxury Villa & Homestay,Maharashtra,Lonavala,Khandala / Tungarli,410401,"Plot 225, Khandala / Tungarli, Lonavala 410401",+91 994431 73734,,booking@heritagecliffsid.in,https://instagram.com/heritage_cliffside_g,Sanjay Sharma (Managing Director / Owner),4.4 ★ (263+ Reviews),New / Fresh,,,NO OFFICIAL WEBSITE; 100% reliant on OTA commissions (18-22% cut) and Instagram DMs.,"Villa Digital Foundation & WhatsApp AI Concierge (₹34,999)","Hi Sanjay, Heritage Cliffside Glass Villa Lonavala has exceptional reviews in Lonavala, but without a direct booking website you lose 20% in margins to Airbnb/OTAs. VinEstate builds direct booking websites and 24/7 WhatsApp AI booking concierges that convert inquiries with 0% commission."
